Gene	average_expression	Freq	Gene_category	Proportion_zero
ENSDARG00000002271	1.5231507561921196	1	other	8.685833405715279e-5
ENSDARG00000002285	0.3802550600267796	58	other	0.005037783375314861
ENSDARG00000002298	0.17716546619143764	611	other	0.053070442108920354
ENSDARG00000002300	1.098404810993326	254	other	0.022062016850516807
ENSDARG00000002304	0.294945385683379	965	other	0.08381829236515244
ENSDARG00000002305	1.057206198036902	188	other	0.016329366802744723
ENSDARG00000002330	-0.06359943630523163	3564	high zero count	0.3095631025796925
ENSDARG00000002332	0.23177983582693756	78	other	0.006774950056457917
ENSDARG00000002336	0.39041393136709285	984	other	0.08546860071223834
ENSDARG00000002339	0.5081373025371287	479	other	0.04160514201337619
ENSDARG00000002347	0.09565185973369289	2777	high zero count	0.2412055936767133
ENSDARG00000002353	1.1334319757729263	1411	high zero count	0.12255710935464258
ENSDARG00000002362	0.6670245363019585	361	other	0.031355858594632156
ENSDARG00000002365	0.37596525632097927	525	other	0.045600625380005214
ENSDARG00000002369	2.791378810200248	5	other	4.342916702857639e-4
ENSDARG00000002377	0.17495066440993873	285	other	0.024754625206288544
ENSDARG00000002385	-0.11591699365341732	1624	high zero count	0.14105793450881612
ENSDARG00000002396	0.37079406690748906	984	other	0.08546860071223834
ENSDARG00000002401	0.6201568750978524	35	other	0.0030400416920003475
ENSDARG00000002402	0.24178759807506608	487	other	0.042300008685833404
ENSDARG00000002403	0.6565349146979395	90	other	0.007817250065143751
ENSDARG00000002405	0.14743188105877791	1292	high zero count	0.1122209676018414
ENSDARG00000002445	1.071754630547294	424	other	0.036827933640232784
ENSDARG00000002467	0.6138165406863718	714	other	0.06201685051680709
ENSDARG00000002479	0.12651758729501245	249	other	0.021627725180231042
ENSDARG00000002483	-0.08679245406104398	1541	high zero count	0.13384869278207245
ENSDARG00000002487	0.45854270716619566	78	other	0.006774950056457917
ENSDARG00000002494	-0.16350599337177535	324	other	0.028142100234517502
ENSDARG00000002506	0.7049589884608608	34	other	0.0029531833579431945
ENSDARG00000002507	0.3382053457940894	240	other	0.02084600017371667
ENSDARG00000002523	1.1266572944955247	24	other	0.002084600017371667
ENSDARG00000002536	0.7399616164574174	183	other	0.01589507513245896
ENSDARG00000002538	0.6619391297592866	132	other	0.011465300095544168
ENSDARG00000002546	0.5737518747944279	1375	high zero count	0.11943020932858507
ENSDARG00000002549	0.214150963447308	49	other	0.004256058368800487
ENSDARG00000002552	1.3778770284773172	10	other	8.685833405715278e-4
ENSDARG00000002571	0.03884032769324817	468	other	0.040649700338747506
ENSDARG00000002576	0.06523784574196298	2460	high zero count	0.21367150178059585
ENSDARG00000002582	-0.0366004952783306	273	other	0.02371232519760271
ENSDARG00000002587	1.2023386744732052	205	other	0.01780595848171632
ENSDARG00000002589	0.947265510679297	1366	high zero count	0.1186484843220707
ENSDARG00000002591	1.131558455990179	48	other	0.004169200034743334
ENSDARG00000002593	0.8365025019457656	1893	high zero count	0.1644228263701902
ENSDARG00000002597	-0.00559902664614169	1918	high zero count	0.16659428472161905
ENSDARG00000002601	0.12499296844779599	2958	high zero count	0.25692695214105793
ENSDARG00000002609	0.585084420674139	183	other	0.01589507513245896
ENSDARG00000002613	0.702435529455787	166	other	0.014418483453487362
