Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSDARG00000068702	-0.771296327197717	0.029736730728279	-147.8636462671784	0	0	6506.374774309907
ENSDARG00000104663	-0.9359373968260083	0.036205260733677344	-147.74267730918817	0	0	6499.517436707387
ENSDARG00000105721	-1.1244107983676757	0.06685752290817033	-147.61851579693482	0	0	6492.477764971343
ENSDARG00000092895	-1.6617334437169937	0.31148150321331725	-147.39315657981348	0	0	6479.6969110504915
ENSDARG00000086753	-0.8990787805808005	0.1362236507419575	-146.46561327233027	0	0	6427.045719504741
ENSDARG00000092787	-1.2646738205904517	0.27899666238299015	-146.28067142392533	0	0	6416.5386563427655
ENSDARG00000113969	-1.2641254888195623	0.6057785549380498	-145.48978030288245	0	0	6371.572602098169
ENSDARG00000036929	-0.9319705746907836	0.32621118563367646	-145.18394261232962	0	0	6354.1698732432005
ENSDARG00000057575	-1.7026984186446894	0.5013617297676938	-144.86641194243632	0	0	6336.093410137891
ENSDARG00000104871	-1.9686214329668557	0.7539872116407657	-144.67234494281178	0	0	6325.041337773018
ENSDARG00000090871	-0.6430718173380306	0.04032848934265766	-144.5821364110043	0	0	6319.902907441826
ENSDARG00000099675	1.3153789940216012	1.4108793616027702	144.08512944755668	0	0	6291.580394458582
ENSDARG00000054649	-0.8330861969279196	0.06471025776276154	-143.83536020614036	0	0	6277.339287678989
ENSDARG00000103600	-0.8236959449846323	0.11483088134185832	-143.19717443249223	0	0	6240.928615078469
ENSDARG00000055365	-1.3487133482263993	0.14399822170323234	-143.14676401956052	0	0	6238.05111890233
ENSDARG00000098046	-0.9160050339452538	0.11667370464103018	-142.4507080946848	0	0	6198.298411036561
ENSDARG00000094110	-0.8643184524887687	0.0516246703544481	-142.23850038069418	0	0	6186.171257363065
ENSDARG00000082789	-2.4166898007486517	0.6705410499287244	-142.125229155525	0	0	6179.696626602023
ENSDARG00000113364	-1.3214541216680886	0.43671133299155074	-142.01219671286083	0	0	6173.23463816767
ENSDARG00000077018	-1.1504949660640587	0.22945796764756227	-141.91349986881605	0	0	6167.591386248594
ENSDARG00000115717	-0.8833806100411254	0.19486846921438838	-141.88969866784575	0	0	6166.230375747911
ENSDARG00000097060	-1.2923561774578407	0.16482141239523865	-141.57843764304332	0	0	6148.427645918851
ENSDARG00000117522	-2.094232040704589	0.38710931982530644	-141.49997153397777	0	0	6143.938549140716
ENSDARG00000097039	-0.9443582884657797	0.1230653330956559	-141.182499095484	0	0	6125.770891845591
ENSDARG00000103789	-0.8675873596984114	0.04724907660522634	-140.14290893533135	0	0	6066.225611563119
ENSDARG00000068265	-1.273245935127504	0.7393221764007833	-139.73736181775598	0	0	6042.97486464521
ENSDARG00000100349	-1.3164711756021874	0.5236947614692514	-139.65152813910836	0	0	6038.052308318093
ENSDARG00000045978	-1.132376734291661	0.42635162226472617	-139.61719356917033	0	0	6036.083071290901
ENSDARG00000097637	-0.8905130678247329	0.1801152299582985	-138.89179626888387	0	0	5994.458316889822
ENSDARG00000081938	-1.841849720152895	0.626477205347571	-138.6743874166984	0	0	5981.975573924301
ENSDARG00000071378	-0.9898949106015991	0.3726132192650289	-138.60072332527156	0	0	5977.745313326366
ENSDARG00000002353	-1.1900158509930143	0.12528977617891685	-138.3653056785316	0	0	5964.223555644043
ENSDARG00000036704	-0.8254556099299545	0.22625864159196896	-138.24315428544756	0	0	5957.2059665283905
ENSDARG00000040643	-1.2494218671383954	0.20648617227799765	-137.81283700552427	0	0	5932.475953459874
ENSDARG00000070985	-1.0657977289655443	0.46752716351159146	-137.4085576378287	0	0	5909.230645015971
ENSDARG00000087999	-1.0916157678008402	0.11855672655425224	-137.15100864565156	0	0	5894.416234751035
ENSDARG00000025789	2.0245072478701713	2.580329452334738	137.06949482311998	0	0	5889.726562637577
ENSDARG00000104501	-1.7712010302199601	0.2755211385418545	-137.06625095783707	0	0	5889.5399265535
ENSDARG00000069525	-0.7320495904799591	0.04156995176342646	-137.03197997164764	0	0	5887.56809893432
ENSDARG00000013659	-1.0325370279312818	0.30001281150311077	-136.66163356035503	0	0	5866.254692978837
ENSDARG00000018825	-0.7850803437773048	0.09783255617003835	-136.07073540185084	0	0	5832.229740534625
ENSDARG00000029874	-0.9064619699498163	0.12943368595788995	-136.05375161464372	0	0	5831.251446494285
ENSDARG00000098391	-0.7863451624658395	0.2082309851431104	-135.7659039731893	0	0	5814.668111241587
ENSDARG00000109263	-1.094148024544598	0.20112615505814302	-135.56700633049144	0	0	5803.206207856481
ENSDARG00000080401	-2.539338595481019	0.5820197434253152	-135.27234895401355	0	0	5786.221318414371
ENSDARG00000097215	-0.9915703222631029	0.24198544061377864	-135.14546557166094	0	0	5778.905711969852
ENSDARG00000062977	-0.8064825980978959	0.14503954874283134	-135.13801769991775	0	0	5778.47626503159
ENSDARG00000069795	-0.8113025077506778	0.11438812967416073	-134.732795955179	0	0	5755.105828565292
ENSDARG00000020984	-1.5936567047098305	0.6161915561771488	-134.72632377345826	0	0	5754.732474627922
ENSDARG00000092277	-2.1527230951033403	0.5637657088098069	-134.20663497260935	0	0	5724.745379534856
ENSDARG00000117349	-2.866790889872754	0.7540082152722809	-134.00963227503817	0	0	5713.373656281872
ENSDARG00000092364	-0.8555713109967773	0.21225431932175817	-133.65236024823596	0	0	5692.7447012638395
ENSDARG00000093188	-0.7248410461471864	0.24487448449984886	-133.54810071170513	0	0	5686.723317523218
ENSDARG00000076609	-0.8941708882564424	0.09800106418051607	-133.23722748080533	0	0	5668.765450076408
ENSDARG00000074376	-0.7688658747304505	-7.441639340085229e-4	-133.0944438704532	0	0	5660.515557879598
ENSDARG00000015835	-0.9375913362133362	0.7374819907408703	-133.06396607988896	0	0	5658.75443071506
ENSDARG00000016463	-0.7409345452715025	0.07694451893643206	-132.98206542878737	0	0	5654.021624776936
ENSDARG00000026842	2.092397367896494	2.192537694473789	132.8799245566347	0	0	5648.118659244627
ENSDARG00000057940	1.882323804703898	2.057792821107108	132.6568595140346	0	0	5635.225146367635
ENSDARG00000033020	-0.588748393501757	0.03343104098383981	-132.63062566778368	0	0	5633.708604719782
ENSDARG00000054907	-1.2840521291249116	0.8332102718815867	-132.39301529483927	0	0	5619.970936642566
ENSDARG00000092802	-0.9627545900134147	0.09771830991234261	-132.05154378197108	0	0	5600.222981902941
ENSDARG00000058724	-0.7723090813867758	0.06710718358937	-132.01420466759225	0	0	5598.063202782318
ENSDARG00000003517	-0.9342805002129233	0.1974340478309545	-131.99959800907774	0	0	5597.218299920575
ENSDARG00000099699	-1.0751744043822116	0.2362695596815537	-131.46467369356978	0	0	5566.268416839853
ENSDARG00000110700	-1.051907832607637	0.259760793905381	-131.38684673163274	0	0	5561.76420438417
ENSDARG00000011999	-0.7087478949796282	-0.03358548541999755	-131.29543218109882	0	0	5556.473208593045
ENSDARG00000061242	-1.9580722082073678	0.4930029852489412	-131.20934720664025	0	0	5551.490285311957
ENSDARG00000114675	-0.9610211156314882	0.28131275247786747	-130.96792892683183	0	0	5537.514036350325
ENSDARG00000004402	-1.591828863281631	0.7264450652793975	-130.45144756328278	0	0	5507.603786714049
ENSDARG00000033364	-1.448309060893764	0.8551248905654358	-130.4277979796581	0	0	5506.233881288979
ENSDARG00000016835	-0.6858656566603946	0.07293460446182887	-130.3594640650149	0	0	5502.275473793626
ENSDARG00000046071	-0.9873264894489258	0.22001423069973822	-130.09265194743614	0	0	5486.817532560661
ENSDARG00000088087	1.6116446695970847	2.105989074897748	129.923473881732	0	0	5477.014287472019
ENSDARG00000061640	1.0668145364195878	1.2638385174118982	129.6327964285217	0	0	5460.167388954696
ENSDARG00000098215	-1.2912647445533365	0.19114794807349159	-129.514724337612	0	0	5453.323096223416
ENSDARG00000021582	-1.3556804629399282	0.6759801317546219	-129.44267963796815	0	0	5449.14655446759
ENSDARG00000007657	-1.0081310128156369	0.1689665793853153	-129.39560665409672	0	0	5446.417530284871
ENSDARG00000097197	-1.3769640053331724	0.24321360548266865	-129.32695249346938	0	0	5442.437167071303
ENSDARG00000113139	-0.9749922519403708	0.09240290979217623	-128.86695723198028	0	0	5415.762423983338
ENSDARG00000100823	-0.8995116548718898	0.6308924238613941	-128.8091321661374	0	0	5412.408516893384
ENSDARG00000070774	-2.1273798028654536	0.5165489546876803	-128.7297700092838	0	0	5407.805194917425
ENSDARG00000076509	-1.386902460597723	0.7559082218751261	-128.59816828209716	0	0	5400.171151507908
ENSDARG00000102482	-0.8442613890684332	0.2753809008969075	-128.53816396241936	0	0	5396.690125481649
ENSDARG00000098645	-1.0321753540727505	0.28339277961451975	-128.25249339608618	0	0	5380.115381542622
ENSDARG00000098673	-0.6545079190523195	-0.0029308168284570193	-128.15719155906612	0	0	5374.585137488784
ENSDARG00000101109	-0.7502228183796804	0.13314298231795713	-128.06013362932964	0	0	5368.952590327194
ENSDARG00000055381	-1.5454882194158328	0.5995720514697678	-127.97429595263064	0	0	5363.970852830599
ENSDARG00000117675	-1.309034655960121	0.40992515431667237	-127.89980592112276	0	0	5359.647443416374
ENSDARG00000097467	-1.3998118313822456	0.5840221934150475	-127.60472780825597	0	0	5342.5188026646665
ENSDARG00000037176	-0.6979500121949875	0.07560487450830364	-127.59784060750607	0	0	5342.118972704598
ENSDARG00000061397	1.5498900996686673	1.5878083781903085	127.36310356409433	0	0	5328.490378468066
ENSDARG00000021945	1.4295084768833906	1.4151068693955295	127.0969243540689	0	0	5313.033602551821
ENSDARG00000041921	-1.1764791535990478	0.7691605817609972	-126.81561278110439	0	0	5296.695071900022
ENSDARG00000077934	-1.9243530512132776	1.2042912950975215	-126.78265857475856	0	0	5294.7808962475965
ENSDARG00000004771	-0.7571465611421416	0.13851012410859986	-126.76512793750528	0	0	5293.762595926513
ENSDARG00000117697	-0.8144073252794184	0.06762190414670256	-126.75944046775628	0	0	5293.432225925786
ENSDARG00000070834	-1.6594333390006006	0.7767223978934104	-126.59297326069971	0	0	5283.762042002754
ENSDARG00000089940	-0.5139257850904599	-0.018874799504717436	-126.51950093837044	0	0	5279.493655247912
ENSDARG00000058003	-1.0627178578331296	0.2230990262223803	-126.36562580514446	0	0	5270.553599172955
ENSDARG00000044328	-0.9659533015569803	0.6112618506022591	-126.350435093839	0	0	5269.670979927809
ENSDARG00000103417	-1.6325501586994278	0.37976273609208794	-126.32760251382452	0	0	5268.344332492265
ENSDARG00000043898	-0.732491994194261	0.12504758626098297	-126.30287653735444	0	0	5266.907650856066
ENSDARG00000102051	-1.478865137449264	0.3722497342977815	-126.20146017345115	0	0	5261.01470522816
ENSDARG00000101085	-0.7910462510430022	0.10049035964742807	-126.18113910068388	0	0	5259.833874461653
ENSDARG00000095056	-0.8510551042619302	0.05786322438622868	-126.04244346957118	0	0	5251.774054109508
ENSDARG00000038557	-0.6764095508105884	0.059573657332315365	-125.82592898269343	0	0	5239.190679500853
ENSDARG00000098191	-1.0286666279054852	0.2273258382694538	-125.68291318525213	0	0	5230.877989379488
ENSDARG00000089878	-0.9715263146940437	0.34076747852208183	-125.6672660462592	0	0	5229.9684674109185
ENSDARG00000102206	-0.5903179029084192	-0.025214632689585504	-125.61402381272015	0	0	5226.873590122116
ENSDARG00000093374	1.8452921533096667	1.6712023644624723	125.53371382245078	0	0	5222.205126919509
ENSDARG00000070858	-0.9409308908629738	0.10762521687343624	-125.42256654133894	0	0	5215.74371143888
ENSDARG00000111835	-2.957915597354162	0.5334948319141262	-125.24354490136234	0	0	5205.3356231452935
ENSDARG00000022668	-0.9712454911924816	0.08597803791078643	-124.9000490427869	0	0	5185.362247918076
ENSDARG00000037070	-0.5482186654317189	0.03650621817727589	-124.89085905531718	0	0	5184.827821866008
ENSDARG00000093186	-1.2923667600231885	0.1946311023986007	-124.79558457586896	0	0	5179.287158726179
ENSDARG00000044194	-0.8578280246473118	0.31859872260359273	-124.66003460029228	0	0	5171.403788913605
ENSDARG00000058306	-0.8610599076032076	0.27812595457563444	-124.60531869514678	0	0	5168.221436235139
ENSDARG00000103947	-0.5902518412409388	-0.04356140655688482	-124.47964499970979	0	0	5160.911729273135
ENSDARG00000094854	-1.1912930274067235	0.26236392929290603	-124.39280073168877	0	0	5155.860220977932
ENSDARG00000102257	-0.97875719254288	0.5268373326356109	-124.37889554366176	0	0	5155.051370563295
ENSDARG00000096668	-0.910314742525499	0.23998857964323747	-124.32764158663593	0	0	5152.069930386178
ENSDARG00000077052	1.3090331167883693	1.2835984299756757	123.91225294165831	0	0	5127.903917882154
ENSDARG00000053685	-0.9003971466004316	0.4412771048700522	-123.74491912683526	0	0	5118.167549556074
ENSDARG00000097595	-1.2761646755506146	0.1941935686017974	-123.67563793247724	0	0	5114.136171641288
