Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-MTAB-6189	Differential gene expression study in brain samples from patients suffering distinct frontotemporal lobar degeneration (FTLD) conditions	transcription profiling by array	Homo sapiens	30	2018-09-19	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6189/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6189/
E-MTAB-3888	Cell-free serum miRNA signature of synovial sarcoma	transcription profiling by array	Homo sapiens	15	2018-09-19	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3888/E-MTAB-3888.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3888/E-MTAB-3888.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3888/
E-MTAB-7140	Gene expression microarray of human pulmonary endothelial cells from patients with Chronic Obstructive Pulmonary Disease in comparison with normal controls	transcription profiling by array	Homo sapiens	14	2018-09-18	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7140/E-MTAB-7140.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7140/E-MTAB-7140.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7140/
E-MTAB-7048	Microarray mRNA data of RPTEC/TERT1 cells exposed to nephrotoxic chemicals ochratoxin A and potassium bromate	transcription profiling by array	Homo sapiens	36	2018-09-16	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7048/E-MTAB-7048.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7048/
E-MTAB-7141	miRNA microarray of human pulmonary endothelial cells comparing patients with and without Chronic Obstructive Pulmonary Disease	transcription profiling by array	Homo sapiens	21	2018-09-10	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7141/E-MTAB-7141.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7141/E-MTAB-7141.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7141/
E-MTAB-5793	A five-microRNA-signature predicting recurrence in HNSCC	microRNA profiling by array	Homo sapiens	162	2018-09-06	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5793/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5793/
E-MTAB-7217	Investigation of titanium discs produced by Straumann on human mesenchymal stromal cells	transcription profiling by array	Homo sapiens	27	2018-09-05	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7217/E-MTAB-7217.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-7217/E-MTAB-7217.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7217/
E-MTAB-6134	mRNA profiling by array for pancreatic ductal adenocarcinoma for clinical application	transcription profiling by array	Homo sapiens	309	2018-09-04	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6134/E-MTAB-6134.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-6134/raw/		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6134/
E-MTAB-6394	mRNA-seq of human cells lines derived from Papillary thyroid carcinoma (TPC1) transfected with siRNA against BHLHE40 (DEC1) or with scramble control siRNA	RNA-seq of coding RNA	Homo sapiens	4	2018-09-03	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6394/
E-MTAB-7126	RNA-seq of human melanoma cell line A375 treated with the tetracycline analogs Col-3 or doxycycline against untreated controls	RNA-seq of coding RNA	Homo sapiens	9	2018-09-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-7126/
E-MTAB-6654	Transcriptomic profiling of three different neuroblastoma cell lines (CLB-BAR, CLB-GE and SK-N-AS) in response to ALK inhibition	RNA-seq of coding RNA	Homo sapiens	17	2018-09-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6654/
E-MTAB-6622	RNA-seq to investigate gene expression profile associated with long-non coding RNA RAIN  in TPC1 cells	RNA-seq of coding RNA	Homo sapiens	6	2018-09-01	Data is not available	Data is not available		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-6622/
E-MTAB-5823	Influence of NSD3 and ESR1 knockdown on gene expression in SUM-44 cells	transcription profiling by array	Homo sapiens	9	2018-09-01	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5823/E-MTAB-5823.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-5823/E-MTAB-5823.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-5823/
